ID,LONGITUDE,LATITUDE,DESCRIPTION,ISSTAIRS,ISRAMP,EDGES
hfyku76zswqu,-73.6771146,42.729809,hello world,false,false,hfyku76z9wmu
hfyku76z9wmu,-73.6771146,42.729679,hello world,false,false,hfyku76zswqu:hfyku76xs56s
hfyku76xs56s,-73.6771307,42.7294386,hello world,false,false,hfyku76z9wmu:hfyku76x4p6h
hfyku76x4p6h,-73.677195,42.7293519,hello world,false,false,hfyku76xs56s:hfyku76w2u7u
hfyku76w2u7u,-73.6773399,42.7293007,hello world,false,false,hfyku76x4p6h:hfyku76e4cks
hfyku76e4cks,-73.6779139,42.7293874,hello world,false,false,hfyku76w2u7u:hfyku768jt3u
hfyku768jt3u,-73.6784074,42.7295017,hello world,false,false,hfyku76e4cks:hfyku74c8v7k
hfyku74c8v7k,-73.6795232,42.7296435,hello world,false,false,hfyku768jt3u:hfyku74b97mh
hfyku74b97mh,-73.6797056,42.7296672,hello world,false,false,hfyku74c8v7k:hfyku74b71ku
hfyku74b71ku,-73.6797592,42.729742,hello world,false,false,hfyku74b97mh:hfyku6fft93k
hfyku6fft93k,-73.6807463,42.7298445,hello world,false,false,hfyku74b71ku:hfyku6fctk2s
hfyku6fctk2s,-73.6809018,42.7298327,hello world,false,false,hfyku6fft93k
hi,-73.678501,42.729850,sup,false,false,hfyku6fft93k:hfyku74c8v7k:hfyku6fctk2s